Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-4695,2023-08,28,17:58:09,980,134,P,-0.6445,1.6712,10S,95E,318.23415
LN-4701,2025-02,21,09:11:43,982,139,T+,0.0725,2.7355,11N,131W,354.30435
LN-4707,2023-08,17,02:16:10,983,144,T+,0.1172,2.6655,13S,29W,373.8942
LN-4713,2023-02,9,22:11:31,985,149,P,-0.6131,1.7214,14N,34E,307.3509
LN-4719,2025-08,6,04:04:39,987,154,P,0.8908,1.2594,16S,56W,320.72175000000004
LN-4724,2024-01,1,02:54:07,988,121,N,1.4262,0.2361,24N,39W,135.18824999999998
LN-4725,2024-01,30,13:57:10,989,159,N,-1.2668,0.52,16N,157E,191.6775
LN-4730,2020-06,26,16:49:14,990,126,N,-1.1391,0.7802,24S,113E,251.06895
LN-4736,2020-12,21,14:00:40,992,131,P,0.8002,1.4114,24N,153E,312.74070000000006
LN-4742,2025-06,16,03:39:21,994,136,T,-0.3291,2.2398,24S,50W,333.88530000000003
LN-4748,2025-12,10,17:55:40,995,141,T+,0.1179,2.6881,23N,93E,386.1249
LN-4754,2022-06,4,19:42:06,997,146,T,0.4149,2.0683,22S,68E,316.78305
LN-4760,2020-11,28,17:11:03,999,151,P,-0.5705,1.8604,21N,103E,364.66935
LN-4765,2025-04,26,03:39:11,1000,118,N,-1.4471,0.1969,15S,51W,126.17069999999998
LN-4766,2020-05,25,12:32:57,1001,156,N,1.151,0.7256,20S,175E,223.91264999999999
LN-4772,2025-11,17,19:18:57,1002,161,N,-1.2358,0.6177,18N,71E,229.30245
LN-4777,2025-04,15,12:59:59,1004,128,P,-0.7715,1.4663,11S,169E,323.9349
LN-4783,2022-10,8,18:46:46,1006,133,P,0.8002,1.3725,7N,79E,286.4136
LN-4789,2023-04,4,15:07:51,1007,138,T-,-0.0541,2.8029,6S,138E,389.8563
LN-4795,2023-09,28,11:16:56,1009,143,T+,0.08900000000000001,2.6712,2N,167W,329.63565000000006
LN-4801,2021-03,23,15:00:16,1011,148,P,0.6554,1.6951,1S,141E,349.8474
LN-4807,2021-09,17,02:33:17,1013,153,P,-0.6501,1.6574,3S,35W,313.1553
LN-4812,2022-02,11,07:06:06,1014,120,N,-1.4509999999999998,0.1989,13N,99W,127.31085
LN-4813,2022-03,12,19:54:34,1014,158,N,1.3239,0.4441,4N,68E,192.50670000000002
LN-4818,2022-08,7,22:50:34,1016,125,N,1.3334,0.4392,15S,23E,201.93885
LN-4819,2021-09,6,12:15:03,1016,163,N,-1.4545,0.2079,8S,179W,138.09045000000003
LN-4824,2024-01,31,21:17:34,1018,130,P,-0.7404,1.4853,17N,48E,291.69975
LN-4830,2025-07,27,23:44:46,1019,135,P,0.5961,1.7992,18S,10E,359.27955
LN-4836,2023-01,21,12:56:41,1021,140,T-,-0.0775,2.7063,20N,173E,335.3364
LN-4842,2022-07,17,02:12:50,1023,145,T-,-0.1807,2.5444,21S,27W,369.33359999999993
LN-4848,2021-01,11,01:23:56,1025,150,P,0.6291,1.7186,23N,15W,327.0444
LN-4854,2020-07,5,11:33:11,1026,155,P,-0.9306,1.141,24S,168W,277.29240000000004
LN-4860,2020-12,30,06:57:20,1028,160,N,1.3717,0.3838,24N,100W,190.4337
LN-4865,2025-05,26,20:00:14,1030,127,P,0.8834,1.2091,20S,64E,269.6223
LN-4871,2021-11,19,12:00:29,1031,132,P,-0.9583,1.1439,19N,179W,307.7655
LN-4877,2020-05,16,12:10:00,1033,137,T+,0.1667,2.5384,19S,179W,338.44590000000005
LN-4883,2021-11,8,16:08:09,1035,142,T-,-0.2159,2.4796,16N,118E,359.3832
LN-4889,2025-05,5,23:17:48,1037,147,P,-0.6059,1.7608,17S,14E,336.7875
LN-4895,2020-10,29,03:37:44,1039,152,P,0.5017,1.9269999999999998,14N,54W,320.6181
LN-4900,2025-03,25,10:01:24,1040,119,Ne,1.5593,0.0434,1S,144W,67.40115
LN-4901,2025-04,24,03:03:43,1040,157,N,-1.3852,0.3549,14S,43W,185.56214999999997
LN-4906,2022-09,18,11:11:24,1042,124,N,-1.3918,0.2825,3S,164W,144.6204
LN-4907,2020-10,17,19:32:43,1042,162,N,1.176,0.6783,11N,67E,214.0659
LN-4912,2020-03,14,10:38:04,1044,129,P,0.8363,1.3584,3N,153W,321.24
LN-4918,2024-09,8,01:22:03,1045,134,P,-0.7104,1.5531,6S,16W,312.63705000000004
LN-4924,2025-03,3,17:32:53,1047,139,T+,0.0885,2.7036,7N,104E,352.54229999999995
LN-4930,2024-08,28,09:06:27,1049,144,T+,0.0414,2.8069,10S,132W,376.48545
LN-4936,2021-02,21,06:53:33,1051,149,P,-0.6013,1.7416,10N,96W,307.7655
LN-4942,2020-08,17,10:35:26,1053,154,P,0.8079999999999999,1.4121,13S,154W,333.98895000000005
LN-4947,2024-01,12,11:40:47,1054,121,N,1.433,0.2247,23N,169W,132.3897
LN-4948,2024-02,10,22:44:27,1054,159,N,-1.2606,0.5313,13N,26E,193.7505
LN-4953,2021-07,6,23:41:22,1056,126,N,-1.214,0.6409,24S,11E,229.8207
LN-4954,2020-08,5,12:01:19,1056,164,Nb,1.5295,0.0755,15S,175W,85.74719999999999
LN-4959,2022-12,31,22:26:34,1058,131,P,0.8085,1.3980000000000001,24N,29E,312.84434999999996
LN-4965,2021-06,26,10:59:50,1059,136,T,-0.4007,2.1066,24S,160W,328.7028
LN-4971,2024-12,21,01:56:07,1061,141,T+,0.1306,2.6663,24N,25W,386.85045
LN-4977,2021-06,16,03:16:59,1063,146,T,0.3462,2.1934,23S,44W,320.30715000000004
LN-4983,2022-12,10,01:04:27,1065,151,P,-0.5534,1.8923,22N,14W,366.0168
LN-4988,2023-05,7,11:19:39,1066,118,N,-1.5036,0.0934,18S,167W,88.0275
LN-4989,2024-06,5,20:05:08,1067,156,N,1.0884,0.8406,21S,63E,238.7346
LN-4995,2021-11,29,03:25:44,1068,161,N,-1.2145,0.6565,20N,50W,234.7959
LN-5000,2025-04,25,20:22:55,1070,128,P,-0.8255,1.367,14S,58E,317.19765
LN-5006,2025-10,19,02:55:17,1072,133,P,0.8362,1.307,11N,43W,281.23109999999997
LN-5012,2025-04,14,22:20:34,1074,138,T-,-0.1033,2.7113,10S,29E,389.13075000000003
LN-5018,2020-10,8,19:19:56,1075,143,T+,0.1336,2.5913,6N,71E,329.63565000000006
LN-5024,2021-04,3,22:29:30,1077,148,P,0.6153,1.7659,5S,28E,352.7496
LN-5030,2022-09,28,10:14:02,1079,153,P,-0.5994,1.7532,2N,151W,319.5816
LN-5035,2021-02,22,15:37:08,1081,120,N,-1.4584,0.1829,9N,133E,121.81739999999999
LN-5036,2023-03,24,03:55:49,1081,158,N,1.2931,0.4974,0S,53W,201.8352
LN-5041,2020-08,19,05:30:19,1082,125,N,1.4137,0.2939,12S,77W,167.94164999999998
LN-5042,2023-09,17,19:23:23,1083,163,N,-1.3973,0.3159,3S,73E,169.28910000000002
LN-5047,2023-02,12,06:04:35,1084,130,P,-0.7479,1.4704,13N,83W,290.3523
LN-5053,2021-08,7,06:12:58,1086,135,P,0.6809,1.6438,16S,87W,349.8474
LN-5059,2021-01,31,21:44:38,1088,140,T-,-0.0827,2.6972,17N,42E,335.9583
LN-5065,2021-07,27,08:59:05,1090,145,T-,-0.0983,2.6943,19S,128W,369.64455
LN-5071,2020-01,21,09:56:47,1091,150,P,0.6263,1.725,20N,142W,328.4955
LN-5077,2021-07,16,18:45:58,1093,155,P,-0.8523,1.2829,22S,85E,288.27930000000003
LN-5083,2023-01,10,15:08:15,1095,160,N,1.3675,0.3928,23N,139E,192.92129999999997
LN-5088,2023-06,7,03:37:47,1097,127,P,0.9498,1.0866,22S,50W,259.04999999999995
LN-5089,2021-07,6,10:22:42,1097,165,Nb,-1.5404,0.0027,24S,150W,14.436
LN-5094,2025-11,30,19:52:22,1098,132,P,-0.9774,1.1091,21N,64E,303.72315000000003
LN-5100,2021-05,26,19:43:25,1100,137,T+,0.2306,2.4214,21S,68E,337.61670000000004
LN-5106,2023-11,19,00:15:25,1102,142,T-,-0.2386,2.4377,19N,3W,357.5175
LN-5112,2023-05,16,06:33:36,1104,147,P,-0.5457,1.8718,20S,95W,343.52475
LN-5118,2021-11,8,11:57:24,1106,152,P,0.4733,1.9794,17N,179W,321.96555
LN-5124,2024-05,5,10:04:13,1108,157,N,-1.3275,0.46,17S,148W,209.50529999999998
LN-5129,2020-09,29,19:04:37,1109,124,N,-1.4432,0.1902,1N,77E,119.95169999999999
LN-5130,2025-10,29,03:49:51,1109,162,N,1.143,0.7403,14N,57W,222.46155
LN-5135,2022-03,25,18:20:36,1111,129,P,0.8667,1.2996,1S,91E,315.02099999999996
LN-5141,2025-09,19,08:51:06,1113,134,P,-0.7713,1.4444,2S,129W,306.83265000000006
LN-5147,2022-03,14,01:45:55,1115,139,T+,0.1118,2.6579,3N,20W,350.57295
LN-5153,2020-09,7,16:02:33,1117,144,T-,-0.0288,2.8326,6S,124E,378.14385
LN-5159,2023-03,3,15:29:02,1118,149,P,-0.5837,1.7721,6N,135E,308.5947
LN-5165,2021-08,27,17:11:33,1120,154,P,0.7295,1.5573,9S,107E,345.07950000000005
LN-5170,2024-01,22,20:25:46,1122,121,N,1.4409999999999998,0.2109,21N,61E,128.76195
LN-5171,2022-02,21,07:26:24,1122,159,N,-1.2504,0.5496,9N,104W,196.85999999999999
LN-5176,2025-07,18,06:34:23,1124,126,N,-1.2887,0.502,22S,92W,205.25565
LN-5177,2022-08,16,18:46:36,1124,164,N,1.4488,0.223,12S,84E,145.035
LN-5182,2023-01,12,06:53:23,1126,131,P,0.8154,1.3869,22N,97W,313.1553
LN-5188,2020-07,7,18:17:23,1127,136,T,-0.4754,1.9679,23S,92E,322.6911
LN-5194,2023-01,1,10:00:56,1129,141,T+,0.1394,2.6514,23N,145W,387.576
LN-5200,2022-06,26,10:47:40,1131,146,T,0.2737,2.3259,23S,156W,323.20935
LN-5206,2021-12,20,09:03:39,1133,151,P,-0.5406,1.9159,23N,132W,366.74235
LN-5212,2022-06,16,03:32:46,1135,156,P,1.0225,0.9621,22S,48W,252.83099999999996
LN-5218,2024-12,9,11:40:03,1137,161,N,-1.1984,0.6857,22N,172W,238.63094999999998
LN-5223,2023-05,7,03:37:48,1138,128,P,-0.8852,1.2576,18S,51W,308.90565000000004
LN-5229,2025-10,30,11:10:45,1140,133,P,0.8668,1.2513,15N,167W,276.56685
LN-5235,2022-04,26,05:25:45,1142,138,T-,-0.1585,2.6086,14S,77W,387.88695
LN-5241,2025-10,20,03:29:19,1144,143,T+,0.1723,2.5221,10N,51W,329.42835
LN-5247,2020-04,14,05:51:07,1146,148,P,0.5686,1.849,9S,83W,355.96275
LN-5253,2023-10,8,18:01:43,1148,153,P,-0.5553,1.8371,6N,91E,325.07505
LN-5258,2025-03,5,00:03:15,1149,120,N,-1.4701,0.159,5N,6E,113.42175
LN-5259,2025-04,3,11:50:58,1149,158,N,1.2568,0.5609,4S,172W,212.09654999999998
LN-5264,2023-08,29,12:14:31,1151,125,N,1.4893,0.1572,8S,179W,124.7196
LN-5265,2021-09,28,02:37:33,1151,163,N,-1.3452,0.4143,1N,36W,192.92129999999997
LN-5270,2024-02,22,14:46:52,1153,130,P,-0.7594,1.4481,9N,146E,288.59024999999997
LN-5276,2021-08,18,12:46:04,1155,135,P,0.7614,1.4963,12S,174E,339.37874999999997
LN-5282,2022-02,12,06:28:08,1157,140,T-,-0.0913,2.6817,14N,89W,336.47655
LN-5288,2024-08,7,15:48:57,1158,145,T-,-0.018000000000000002,2.8405,16S,129E,368.919
LN-5294,2022-02,1,18:26:27,1160,150,P,0.6218,1.7344,18N,91E,330.1539
LN-5300,2020-07,27,02:01:20,1162,155,P,-0.7754,1.4228,20S,24W,297.6078
LN-5306,2022-01,20,23:16:44,1164,160,N,1.3619999999999999,0.4038,21N,18E,195.92714999999998
LN-5311,2021-06,17,11:11:33,1166,127,P,1.0191,0.9591,22S,162W,246.92295000000001
LN-5312,2021-07,16,17:51:15,1166,165,N,-1.4688,0.1337,23S,99E,99.94725
LN-5317,2024-12,11,03:51:44,1168,132,Nx,-0.9904,1.0853,22N,55W,300.61365
LN-5323,2021-06,7,03:09:30,1169,137,T,0.3,2.2946,22S,43W,336.06195
LN-5329,2020-11,30,08:31:15,1171,142,T-,-0.2548,2.4076,21N,126W,355.75545
LN-5335,2023-05,27,13:39:33,1173,147,P,-0.4783,1.9959,22S,159E,350.262
LN-5341,2020-11,19,20:25:36,1175,152,T,0.4513,2.02,20N,55E,322.89840000000004
LN-5347,2024-05,15,16:54:29,1177,157,N,-1.2616,0.5802,20S,110E,232.72289999999998
LN-5352,2024-10,10,03:05:14,1179,124,N,-1.4883,0.1097,6N,44W,91.96619999999999
LN-5353,2022-11,8,12:15:14,1179,162,N,1.1169,0.7899,18N,177E,228.7842
LN-5358,2020-04,5,01:56:44,1181,129,P,0.903,1.23,5S,23W,307.55820000000006
LN-5364,2022-09,29,16:24:45,1182,134,P,-0.8273,1.3446,2N,117E,300.9246
LN-5370,2023-03,25,09:54:38,1184,139,T+,0.1395,2.6043,2S,142W,348.49995
LN-5376,2021-09,18,23:02:35,1186,144,T-,-0.0951,2.7137,2S,18E,379.0767
LN-5382,2025-03,14,23:59:26,1188,149,P,-0.5619,1.8103,2N,7E,309.73484999999994
LN-5388,2020-09,7,23:52:36,1190,154,P,0.6545,1.6959,5S,6E,354.30435
LN-5393,2022-02,3,05:08:57,1192,121,N,1.4502,0.1947,18N,68W,124.20134999999999
LN-5394,2023-03,3,16:03:14,1192,159,N,-1.2367,0.5745,5N,126E,201.006
LN-5399,2023-07,28,13:31:07,1194,126,N,-1.361,0.3678,20S,165E,177.27015
LN-5400,2021-08,27,01:39:06,1194,164,N,1.3726,0.3624,9S,20W,182.03804999999997
LN-5405,2021-01,22,15:17:33,1195,131,P,0.8239,1.3726,20N,139E,313.1553
LN-5411,2020-07,18,01:38:01,1197,136,P,-0.5482,1.8329,21S,18W,316.0575
LN-5417,2025-01,11,18:05:30,1199,141,T+,0.1483,2.6358,22N,95E,388.09425
LN-5423,2022-07,7,18:17:19,1201,146,T+,0.2003,2.4604,22S,92E,325.5933
LN-5429,2022-12,31,17:06:05,1203,151,P,-0.53,1.9352,23N,109E,367.26059999999995
LN-5435,2025-06,27,10:55:58,1205,156,P,0.9531,1.0901,22S,158W,266.20185
LN-5441,2020-12,20,19:59:36,1207,161,N,-1.1858,0.7079,22N,64E,241.11854999999997
LN-5446,2025-05,17,10:41:49,1209,128,P,-0.9527,1.1339,20S,156W,298.2297
LN-5452,2022-11,9,19:35:18,1210,133,P,0.8904,1.2086,18N,67E,272.7318
LN-5458,2025-05,6,12:21:25,1212,138,T-,-0.2213,2.4921,17S,179E,385.81395
LN-5464,2024-10,30,11:45:56,1214,143,T+,0.2048,2.4645,14N,176W,329.3247
LN-5470,2022-04,25,13:05:12,1216,148,P,0.5147,1.9449,13S,168E,359.17590000000007
LN-5476,2021-10,20,01:55:57,1218,153,P,-0.5172,1.9101,10N,28W,329.84295000000003
LN-5481,2025-03,16,08:22:54,1220,120,N,-1.4877,0.1241,0N,119W,100.15455
LN-5482,2020-04,14,19:37:49,1220,158,N,1.2128,0.6385,8S,71E,223.49804999999998
LN-5487,2023-09,9,19:02:39,1222,125,Ne,1.5609,0.0281,4S,78E,53.51205
LN-5488,2024-10,9,09:58:19,1222,163,N,-1.2987,0.5027,5N,147W,211.68195
LN-5493,2025-03,4,23:24:12,1224,130,P,-0.7754,1.4175,5N,17E,286.30995
LN-5499,2020-08,28,19:24:50,1226,135,P,0.8375,1.3572,8S,74E,328.18455
LN-5505,2020-02,22,15:07:08,1227,140,T-,-0.1033,2.6598,10N,141E,336.99479999999994
LN-5511,2020-08,17,22:44:46,1229,145,T+,0.0583,2.7658,13S,25E,367.36424999999997
LN-5517,2023-02,12,02:53:07,1231,150,P,0.6155,1.7467,14N,35W,331.91595000000007
LN-5523,2021-08,7,09:19:05,1233,155,P,-0.6995,1.5609,17S,133W,305.58885
LN-5529,2025-02,1,07:24:27,1235,160,N,1.3562,0.4148,18N,103W,198.72570000000002
LN-5534,2022-06,28,18:42:11,1237,127,N,1.0906,0.8279,22S,86E,232.72289999999998
LN-5535,2023-07,28,01:20:15,1237,165,N,-1.3974,0.2645,20S,13W,138.816
LN-5540,2024-12,22,11:56:10,1239,132,Nx,-1.0001,1.0673,22N,174W,298.12604999999996
LN-5546,2021-06,17,10:30:31,1241,137,T,0.373,2.1615,23S,152W,333.678
LN-5552,2020-12,10,16:53:19,1243,142,T-,-0.2667,2.3852,23N,110E,354.09704999999997
LN-5558,2021-06,6,20:40:00,1245,147,T,-0.4068,2.1278,23S,55E,356.481
LN-5564,2024-11,30,04:59:05,1247,152,T,0.4334,2.0529,22N,73W,323.41665
LN-5570,2024-05,26,23:38:32,1249,157,N,-1.1906,0.7097,22S,10E,254.38575
LN-5575,2024-10,21,11:12:18,1250,124,N,-1.528,0.0391,9N,166W,55.37775
LN-5576,2025-11,19,20:46:40,1250,162,N,1.0959,0.8297,21N,49E,233.75939999999997
LN-5581,2020-04,16,09:23:54,1252,129,P,0.9471,1.1462,9S,135W,298.33335
LN-5587,2021-10,11,00:05:24,1254,134,P,-0.8768,1.2570000000000001,6N,1E,295.22384999999997
LN-5593,2020-04,4,17:54:43,1256,139,T+,0.1748,2.5366,6S,97E,346.01234999999997
LN-5599,2021-09,29,06:10:28,1258,144,T-,-0.1542,2.6079,3N,90W,379.4913
LN-5605,2023-03,25,08:21:32,1260,149,P,-0.5329,1.8615,3S,119W,311.39325
LN-5611,2023-09,18,06:42:17,1262,154,P,0.5863,1.8223,1S,97W,361.6635
LN-5616,2021-02,13,13:48:10,1264,121,N,1.4626,0.1725,14N,162E,117.4641
LN-5617,2025-03,15,00:33:02,1264,159,N,-1.2176,0.6089,1N,1W,206.49945
LN-5622,2020-08,8,20:30:20,1265,126,N,-1.432,0.2364,17S,60E,143.16929999999996
LN-5623,2020-09,7,08:37:33,1266,164,N,1.2998,0.4955,5S,125W,209.50529999999998
LN-5628,2021-02,2,23:40:14,1267,131,P,0.8331,1.3567,17N,14E,312.948
LN-5634,2024-07,29,08:58:50,1269,136,P,-0.6217,1.6971,19S,127W,308.49105
LN-5640,2022-01,23,02:10:08,1271,141,T+,0.1568,2.6207,20N,25W,388.50884999999994
LN-5646,2023-07,18,01:45:42,1273,146,T+,0.1257,2.5973,21S,19W,327.35535
LN-5652,2023-01,11,01:11:47,1275,151,P,-0.5215,1.9503,21N,11W,367.36424999999997
LN-5658,2020-07,7,18:16:32,1277,156,P,0.8822,1.2213,22S,93E,278.5362
LN-5664,2022-12,31,04:23:20,1279,161,N,-1.1759,0.725,22N,60W,242.77695
LN-5669,2025-05,28,17:39:26,1281,128,Nx,-1.0244,1.0025,23S,100E,285.1698
LN-5675,2024-11,21,04:06:22,1283,133,P,0.9091,1.1749,21N,60W,269.6223
LN-5681,2024-05,17,19:09:13,1285,138,T,-0.2904,2.3641,20S,77E,382.80809999999997
LN-5687,2021-11,10,20:09:31,1287,143,T+,0.2312,2.4179,18N,59E,329.22105
LN-5693,2022-05,5,20:13:03,1289,148,P,0.455,2.0519,16S,61E,362.28540000000004
LN-5699,2023-10,30,09:56:53,1291,153,P,-0.4853,1.9716,14N,148W,333.88530000000003
LN-5704,2021-03,26,16:36:11,1292,120,N,-1.511,0.0788,4S,117E,79.83914999999999
LN-5705,2021-04,25,03:19:08,1293,158,N,1.1634,0.7261,12S,45W,235.2105
LN-5711,2025-10,19,17:26:44,1295,163,N,-1.2586,0.5792,9N,100E,226.5039
LN-5716,2020-03,16,07:55:14,1296,130,P,-0.7966,1.3771,1N,112W,283.20045000000005
LN-5722,2023-09,9,02:10:01,1298,135,P,0.9084,1.2278,4S,28W,316.36845
LN-5728,2021-03,5,23:39:34,1300,140,T-,-0.1201,2.6287,6N,13E,337.30575
LN-5734,2024-08,29,05:47:14,1302,145,T+,0.1296,2.6342,9S,81W,364.9803
LN-5740,2025-02,23,11:12:18,1304,150,P,0.6041,1.7683,10N,159W,334.09259999999995
LN-5746,2023-08,17,16:42:26,1306,155,P,-0.6277,1.6921,13S,116E,312.11879999999996
LN-5752,2021-02,11,15:26:51,1308,160,N,1.347,0.4319,15N,137E,202.8717
LN-5757,2020-07,9,02:10:48,1310,127,N,1.1635,0.6943,21S,26W,216.24255
LN-5758,2021-08,7,08:51:22,1310,165,N,-1.3275,0.3929,17S,125W,167.11245
LN-5763,2023-01,1,20:04:17,1312,132,Nx,-1.0070000000000001,1.054,22N,65E,295.9494
LN-5769,2020-06,28,17:46:38,1314,137,T,0.449,2.0231,23S,100E,330.25755
LN-5775,2022-12,22,01:21:41,1316,142,T,-0.27399999999999997,2.371,23N,16W,352.64595
LN-5781,2021-06,18,03:31:37,1318,147,T,-0.32899999999999996,2.2713,24S,47W,362.18174999999997
LN-5787,2024-12,11,13:39:54,1320,152,T,0.4214,2.0751,23N,159E,323.62395000000004
LN-5793,2020-06,6,06:15:13,1322,157,N,-1.1139,0.8499,24S,89W,274.70115
LN-5799,2025-11,30,05:24:27,1324,162,N,1.0806,0.8593,23N,79W,237.49079999999998
LN-5804,2025-04,26,16:45:33,1326,129,P,0.996,1.0533,13S,114E,287.65740000000005
LN-5810,2023-10,21,07:52:38,1328,134,P,-0.9196,1.1815,10N,116W,289.9377
LN-5816,2022-04,16,01:49:49,1330,139,T+,0.215,2.4598,10S,22W,343.31745
LN-5822,2024-10,10,13:23:39,1332,144,T-,-0.2084,2.5113,7N,161E,379.4913
LN-5828,2023-04,5,16:38:08,1334,149,P,-0.4993,1.9215,7S,116E,313.3626
LN-5834,2021-09,29,13:39:37,1336,154,P,0.5238,1.9383,3N,158E,367.57155
LN-5839,2021-02,24,22:21:41,1338,121,N,1.4791,0.1425,11N,34E,107.3064
LN-5840,2024-03,25,08:55:10,1338,159,N,-1.1927,0.654,3S,127W,213.34035
LN-5845,2022-08,19,03:36:26,1340,126,N,-1.4981,0.1141,14S,47W,100.25819999999999
LN-5846,2024-09,17,15:45:51,1340,164,N,1.2338,0.6166,1S,127E,230.33895
LN-5851,2024-02,13,07:57:35,1342,131,P,0.8462,1.3335,14N,110W,312.01515000000006
LN-5857,2021-08,8,16:24:06,1344,136,P,-0.6919,1.5675,16S,121E,300.40635
LN-5863,2024-02,2,10:11:05,1346,141,T+,0.1681,2.6001,17N,144W,388.61249999999995
LN-5869,2023-07,29,09:15:38,1348,146,T+,0.0523,2.7323,18S,131W,328.39185
LN-5875,2024-01,22,09:16:58,1350,151,P,-0.5121,1.9665,19N,131W,367.36424999999997
LN-5881,2022-07,19,01:34:32,1352,156,P,0.8096,1.3559,20S,16W,290.04134999999997
LN-5887,2021-01,11,12:49:31,1354,161,N,-1.1672,0.7397,21N,175E,244.02075
LN-5892,2021-06,8,00:28:51,1355,128,N,-1.1019,0.8607,24S,2W,268.89675
LN-5898,2025-12,1,12:44:17,1357,133,P,0.9228,1.1503,23N,172E,267.23834999999997
LN-5904,2020-05,28,01:49:59,1359,138,T,-0.3652,2.2255,22S,22W,378.55845
LN-5910,2022-11,21,04:40:34,1361,143,T+,0.2515,2.3825,20N,68W,329.3247
LN-5916,2023-05,17,03:13:38,1364,148,T,0.3883,2.1715,19S,43W,365.1876
LN-5922,2021-11,10,18:04:53,1366,153,T,-0.4598,2.0213,17N,90E,337.30575
LN-5927,2025-04,7,00:42:37,1367,120,Ne,-1.5402,0.0223,8S,5W,42.52515
LN-5928,2023-05,6,10:53:14,1368,158,N,1.107,0.8265,16S,158W,247.33754999999996
LN-5934,2024-10,31,01:02:53,1370,163,N,-1.2253,0.6433,13N,14W,238.11270000000002
LN-5939,2025-03,26,16:18:42,1371,130,P,-0.8242,1.3251,4S,122E,279.26175
LN-5945,2023-09,19,09:03:33,1373,135,P,0.9726,1.1107,0S,132W,304.44870000000003
LN-5951,2025-03,16,08:06:00,1375,140,T-,-0.1415,2.5893,1N,114W,337.61670000000004
LN-5957,2023-09,8,12:56:08,1377,145,T+,0.1966,2.5108,5S,171E,362.07809999999995
LN-5963,2023-03,5,19:26:14,1380,150,P,0.5889,1.7964,6N,77E,336.68385
LN-5969,2021-08,29,00:10:16,1382,155,P,-0.5588,1.8179,10S,4E,317.40495
LN-5975,2021-02,22,23:24:23,1384,160,N,1.334,0.4557,11N,18E,208.2615
LN-5980,2023-07,20,09:38:03,1385,127,N,1.2373,0.5595,19S,137W,196.96364999999997
LN-5981,2020-08,18,16:25:11,1386,165,N,-1.2596,0.5181,14S,121E,189.60449999999997
LN-5986,2024-01,13,04:14:53,1387,132,Nx,-1.0124,1.043,21N,56W,294.0837
LN-5992,2021-07,9,01:00:42,1389,137,P,0.526,1.8831,22S,8W,325.90425000000005
LN-5998,2025-01,1,09:52:20,1391,142,T,-0.28,2.3588,23N,142W,351.0912
LN-6004,2025-06,28,10:20:45,1394,147,T-,-0.2499,2.4177,23S,148W,367.05330000000004
LN-6010,2025-12,21,22:24:27,1396,152,T,0.4123,2.0914,24N,29E,323.5203
LN-6016,2025-06,17,12:46:55,1398,157,N,-1.0329,0.9982,24S,175E,293.35815
LN-6022,2022-12,11,14:07:10,1400,162,N,1.0694,0.8809,24N,152E,240.1857
LN-6027,2021-05,7,23:59:40,1401,129,N,1.0516,0.9483,16S,6E,274.70115
LN-6033,2023-11,1,15:47:25,1404,134,P,-0.9559,1.1179999999999999,14N,125E,285.27345
LN-6039,2024-04,26,09:36:10,1406,139,T+,0.2634,2.3681,14S,139W,340.00065000000006
LN-6045,2023-10,20,20:46:19,1408,144,T-,-0.2544,2.4297,11N,51E,379.18035
LN-6051,2024-04,16,00:46:37,1410,149,T,-0.4585,1.9945,11S,6W,315.53925000000004
LN-6057,2020-10,9,20:45:34,1412,154,P,0.4679,2.0422,7N,51E,372.23580000000004
LN-6062,2023-03,7,06:48:56,1414,121,N,1.5004,0.1035,6N,93W,91.96619999999999
LN-6063,2021-04,5,17:09:28,1414,159,N,-1.1619,0.71,8S,109E,221.42504999999997
LN-6069,2021-09,28,23:02:21,1416,164,N,1.1733,0.7276,4N,17E,246.81929999999997
LN-6074,2023-02,24,16:09:26,1418,131,P,0.863,1.3030000000000002,10N,127E,310.46040000000005
LN-6080,2020-08,19,23:52:20,1420,136,P,-0.7602,1.4419,13S,9E,291.8034
LN-6086,2022-02,13,18:09:20,1422,141,T+,0.1814,2.5754,13N,97E,388.61249999999995
LN-6092,2023-08,8,16:47:17,1424,146,T-,-0.0195,2.7933,16S,116E,328.80645000000004
LN-6098,2022-02,1,17:21:21,1426,151,P,-0.5016,1.9845,16N,109E,367.36424999999997
LN-6104,2024-07,29,08:53:05,1428,156,P,0.7379,1.4891,18S,126W,300.3027
LN-6110,2020-01,21,21:17:45,1430,161,N,-1.1593,0.7525,19N,49E,244.9536
LN-6115,2023-06,19,07:12:41,1432,128,N,-1.1829,0.7127,24S,101W,249.0996
LN-6116,2020-07,18,19:45:14,1432,166,Nb,1.5603,0.006999999999999999,19S,71E,25.422900000000002
LN-6121,2024-12,12,21:27:43,1434,133,P,0.9324,1.133,24N,42E,265.4763
LN-6127,2021-06,8,08:25:20,1436,138,T,-0.4447,2.0787,23S,120W,373.065
LN-6133,2022-12,2,13:16:56,1438,143,T+,0.2671,2.3557,22N,164E,329.53200000000004
LN-6139,2025-05,27,10:09:53,1440,148,T,0.3172,2.2994,21S,147W,367.4679
LN-6145,2024-11,21,02:19:04,1442,153,T,-0.4399,2.0605,20N,32W,340.3116
LN-6151,2023-05,16,18:23:08,1444,158,N,1.0463,0.935,18S,90E,258.94635
